500 x 50
MAGMA dgeqrf Time=226.458073 ms
CUBLAS dgeqrf Time=895.944834 ms
1000 x 350
MAGMA dgeqrf Time=315.592051 ms
CUBLAS dgeqrf Time=1221.054792 ms
MAGMA dgeqrf Time=311.177015 ms
CUBLAS dgeqrf Time=1207.479954 ms
MAGMA dgeqrf Time=311.219931 ms
CUBLAS dgeqrf Time=1206.104040 ms
MAGMA dgeqrf Time=311.535120 ms
CUBLAS dgeqrf Time=1206.366062 ms
MAGMA dgeqrf Time=311.599016 ms
CUBLAS dgeqrf Time=1207.182169 ms
1000 x 400
MAGMA dgeqrf Time=454.601049 ms
CUBLAS dgeqrf Time=1563.673019 ms
MAGMA dgeqrf Time=460.817099 ms
CUBLAS dgeqrf Time=1579.592943 ms
MAGMA dgeqrf Time=455.132008 ms
CUBLAS dgeqrf Time=1562.523127 ms
MAGMA dgeqrf Time=460.554123 ms
CUBLAS dgeqrf Time=1579.188824 ms
MAGMA dgeqrf Time=454.658985 ms
CUBLAS dgeqrf Time=1562.035084 ms
1500 x 50
MAGMA dgeqrf Time=14.180899 ms
CUBLAS dgeqrf Time=37.266970 ms
MAGMA dgeqrf Time=14.128208 ms
CUBLAS dgeqrf Time=37.278891 ms
MAGMA dgeqrf Time=13.959885 ms
CUBLAS dgeqrf Time=37.264109 ms
MAGMA dgeqrf Time=14.168024 ms
CUBLAS dgeqrf Time=37.271976 ms
MAGMA dgeqrf Time=14.120817 ms
CUBLAS dgeqrf Time=37.250042 ms
1500 x 100
MAGMA dgeqrf Time=34.050941 ms
CUBLAS dgeqrf Time=146.317005 ms
MAGMA dgeqrf Time=34.046888 ms
CUBLAS dgeqrf Time=146.387815 ms
MAGMA dgeqrf Time=34.241915 ms
CUBLAS dgeqrf Time=146.342993 ms
MAGMA dgeqrf Time=34.054995 ms
CUBLAS dgeqrf Time=146.406889 ms
MAGMA dgeqrf Time=34.579992 ms
CUBLAS dgeqrf Time=148.279905 ms
1500 x 150
MAGMA dgeqrf Time=63.528776 ms
CUBLAS dgeqrf Time=334.402084 ms
MAGMA dgeqrf Time=64.230919 ms
CUBLAS dgeqrf Time=337.474108 ms
MAGMA dgeqrf Time=63.642025 ms
CUBLAS dgeqrf Time=333.811998 ms
MAGMA dgeqrf Time=63.513994 ms
CUBLAS dgeqrf Time=333.858013 ms
MAGMA dgeqrf Time=63.522100 ms
CUBLAS dgeqrf Time=333.485126 ms
1500 x 200
MAGMA dgeqrf Time=131.942987 ms
CUBLAS dgeqrf Time=608.374834 ms
MAGMA dgeqrf Time=132.327080 ms
CUBLAS dgeqrf Time=608.257055 ms
MAGMA dgeqrf Time=132.038832 ms
CUBLAS dgeqrf Time=607.897043 ms
MAGMA dgeqrf Time=132.211924 ms
CUBLAS dgeqrf Time=610.455990 ms
MAGMA dgeqrf Time=132.069111 ms
CUBLAS dgeqrf Time=608.232021 ms
1500 x 250
MAGMA dgeqrf Time=206.978083 ms
CUBLAS dgeqrf Time=956.754923 ms
MAGMA dgeqrf Time=206.717968 ms
